id,title,overview,genres,keywords,cast,search_text
893694,Eva,"When Eva gets involved in a steamy threesome with a houseboy and her lady boss, she realizes she has to choose only one between them.","['Drama', 'Romance']",[],"['Angeli Khang', 'Ava Mendez', 'Marco Gomez', 'Ivan Padilla', 'Angelica Cervantes']","Eva | When Eva gets involved in a steamy threesome with a houseboy and her lady boss, she realizes she has to choose only one between them. | Genres: Drama, Romance | Cast: Angeli Khang, Ava Mendez, Marco Gomez, Ivan Padilla, Angelica Cervantes"
98,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.","['Action', 'Drama', 'Adventure']","['gladiator', 'rome, italy', 'arena', 'senate', 'roman empire', 'parent child relationship', 'emperor', 'slavery', 'ancient rome', 'revenge', 'battlefield', 'slave auction', 'historical fiction', 'ancient world', 'combat', 'chariot', 'philosopher', 'grim', 'barbarian horde', '2nd century', 'successor', 'commodus', 'maximus', 'excited', 'gladiador']","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris']","Gladiator | After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences. | Genres: Action, Drama, Adventure | Keywords: gladiator, rome, italy, arena, senate, roman empire, parent child relationship, emperor, slavery, ancient rome, revenge, battlefield, slave auction, historical fiction, ancient world, combat, chariot, philosopher, grim, barbarian horde, 2nd century, successor, commodus, maximus, excited, gladiador | Cast: Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris"
609681,The Marvels,"When her duties send her to an anomalous wormhole linked to a Kree revolutionary, Carol's powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.","['Science Fiction', 'Adventure', 'Action']","['hero', 'superhero', 'space travel', 'based on comic', 'sequel', 'teenage girl', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'woman director', 'space adventure', 'absurd', 'foreboding']","['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Samuel L. Jackson', 'Zawe Ashton']","The Marvels | When her duties send her to an anomalous wormhole linked to a Kree revolutionary, Carol's powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe. | Genres: Science Fiction, Adventure, Action | Keywords: hero, superhero, space travel, based on comic, sequel, teenage girl, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), woman director, space adventure, absurd, foreboding | Cast: Brie Larson, Teyonah Parris, Iman Vellani, Samuel L. Jackson, Zawe Ashton"
605,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['dying and death', 'rescue', 'future', 'mission', 'man vs machine', 'underground world', 'machine town', 'martial arts', 'kung fu', 'hero', 'dreams', 'fortune teller', 'artificial intelligence (a.i.)', 'computer', 'saving the world', 'flying', 'temple', 'computer virus', 'virtual reality', 'fight', 'faith', 'truth', 'philosophy', 'key', 'killer robot', 'subway', 'dystopia', 'sun', 'sunlight', 'precognition', 'super computer', 'ying yang', 'cyberpunk', 'philosophical', 'action hero', 'gnosticism', 'excited', 'dystopian sci-fi']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Jada Pinkett Smith']","The Matrix Revolutions | The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith. | Genres: Adventure, Action, Thriller, Science Fiction | Keywords: dying and death, rescue, future, mission, man vs machine, underground world, machine town, martial arts, kung fu, hero, dreams, fortune teller, artificial intelligence (a.i.), computer, saving the world, flying, temple, computer virus, virtual reality, fight, faith, truth, philosophy, key, killer robot, subway, dystopia, sun, sunlight, precognition, super computer, ying yang, cyberpunk, philosophical, action hero, gnosticism, excited, dystopian sci-fi | Cast: Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith"
1306368,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.","['Action', 'Thriller', 'Crime']","['miami, florida', 'police', 'investigation', 'shootout', 'dirty cop', 'trust', 'attic', 'sting operation', 'cartel', 'hidden money', 'fbi agent', 'drug money', 'violence']","['Matt Damon', 'Ben Affleck', 'Teyana Taylor', 'Steven Yeun', 'Catalina Sandino Moreno']","The Rip | Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question. | Genres: Action, Thriller, Crime | Keywords: miami, florida, police, investigation, shootout, dirty cop, trust, attic, sting operation, cartel, hidden money, fbi agent, drug money, violence | Cast: Matt Damon, Ben Affleck, Teyana Taylor, Steven Yeun, Catalina Sandino Moreno"
912480,Red Rooms,"The high-profile case of serial killer Ludovic Chevalier has just gone to trial, and Kelly-Anne is obsessed. When reality blurs with her morbid fantasies, she goes down a dark path to seek the final piece of the case’s puzzle.","['Thriller', 'Crime']","['artificial intelligence (a.i.)', 'obsession', 'auction', 'montreal, canada', 'serial killer', 'female protagonist', 'hacking', 'psychological thriller', 'brutality', 'model', 'homeless shelter', 'obsessed fan', 'schoolgirl uniform', 'hitchhiking', 'character study', 'violent fantasies', 'murder trial', 'courtroom drama', 'bitcoin', 'photoshoot', 'snuff film', 'dark web', 'online gambling', 'cyberstalker']","['Juliette Gariépy', 'Laurie Babin', 'Élisabeth Locas', 'Maxwell McCabe-Lokos', 'Natalie Tannous']","Red Rooms | The high-profile case of serial killer Ludovic Chevalier has just gone to trial, and Kelly-Anne is obsessed. When reality blurs with her morbid fantasies, she goes down a dark path to seek the final piece of the case’s puzzle. | Genres: Thriller, Crime | Keywords: artificial intelligence (a.i.), obsession, auction, montreal, canada, serial killer, female protagonist, hacking, psychological thriller, brutality, model, homeless shelter, obsessed fan, schoolgirl uniform, hitchhiking, character study, violent fantasies, murder trial, courtroom drama, bitcoin, photoshoot, snuff film, dark web, online gambling, cyberstalker | Cast: Juliette Gariépy, Laurie Babin, Élisabeth Locas, Maxwell McCabe-Lokos, Natalie Tannous"
1466115,Even If This Love Disappears Tonight,"A high school girl wakes up each day with no memory of yesterday. When she agrees to date a shy classmate, can their love grow with every new beginning?","['Romance', 'Drama']","['amnesia', 'based on novel or book', 'remake', 'tearjerker', 'reflective', 'high school romance', 'slow burn', 'pure love', 'emotional growth', 'emotional', 'melancholic', 'youth melodrama', 'fear of goodbye', 'warm tragedy', 'bittersweet ending', 'tears guaranteed']","['Choo Young-woo', 'Shin Sia', 'Cho Yu-jung', 'Jin Ho-eun', 'Cho Han-cheul']","Even If This Love Disappears Tonight | A high school girl wakes up each day with no memory of yesterday. When she agrees to date a shy classmate, can their love grow with every new beginning? | Genres: Romance, Drama | Keywords: amnesia, based on novel or book, remake, tearjerker, reflective, high school romance, slow burn, pure love, emotional growth, emotional, melancholic, youth melodrama, fear of goodbye, warm tragedy, bittersweet ending, tears guaranteed | Cast: Choo Young-woo, Shin Sia, Cho Yu-jung, Jin Ho-eun, Cho Han-cheul"
839033,The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.","['Animation', 'Fantasy', 'Adventure', 'Action']","['based on novel or book', 'prequel', 'treachery', 'fantasy world', 'anime', 'high fantasy', 'war', 'horsemen']","['Brian Cox', 'Gaia Wise', 'Luke Pasqualino', 'Laurence Ubong Williams', 'Lorraine Ashbourne']","The Lord of the Rings: The War of the Rohirrim | A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg. | Genres: Animation, Fantasy, Adventure, Action | Keywords: based on novel or book, prequel, treachery, fantasy world, anime, high fantasy, war, horsemen | Cast: Brian Cox, Gaia Wise, Luke Pasqualino, Laurence Ubong Williams, Lorraine Ashbourne"
911430,F1,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,"['Action', 'Drama']","['sports', 'comeback', 'racing', 'race car driver', 'sport competition', 'beforecreditsstinger', 'rookie', 'formula one (f1)', 'motorsport', 'car racing', 'exhilarated', 'joyful']","['Brad Pitt', 'Damson Idris', 'Javier Bardem', 'Kerry Condon', 'Tobias Menzies']","F1 | Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory. | Genres: Action, Drama | Keywords: sports, comeback, racing, race car driver, sport competition, beforecreditsstinger, rookie, formula one (f1), motorsport, car racing, exhilarated, joyful | Cast: Brad Pitt, Damson Idris, Javier Bardem, Kerry Condon, Tobias Menzies"
1417,Pan's Labyrinth,"In post–civil war Spain, 10-year-old Ofelia moves with her pregnant mother to live under the control of her cruel stepfather. Drawn into a mysterious labyrinth, she meets a faun who reveals that she may be a lost princess from an underground kingdom. To return to her true father, she must complete a series of surreal and perilous tasks that blur the line between reality and fantasy.","['Fantasy', 'Drama', 'War']","['princess', 'army', 'fairy tale', 'resistance', 'servant', 'anti hero', 'franco regime (francoism)', 'woods', 'cruelty', 'hiding', 'labyrinth', 'magic realism', 'dark fairy tale', 'children in wartime', 'post spanish civil war', 'faun', 'horror', 'enchant', 'gloomy']","['Ivana Baquero', 'Sergi López', 'Maribel Verdú', 'Doug Jones', 'Ariadna Gil']","Pan's Labyrinth | In post–civil war Spain, 10-year-old Ofelia moves with her pregnant mother to live under the control of her cruel stepfather. Drawn into a mysterious labyrinth, she meets a faun who reveals that she may be a lost princess from an underground kingdom. To return to her true father, she must complete a series of surreal and perilous tasks that blur the line between reality and fantasy. | Genres: Fantasy, Drama, War | Keywords: princess, army, fairy tale, resistance, servant, anti hero, franco regime (francoism), woods, cruelty, hiding, labyrinth, magic realism, dark fairy tale, children in wartime, post spanish civil war, faun, horror, enchant, gloomy | Cast: Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones, Ariadna Gil"
