id,title,overview,genres,keywords,cast,search_text,search_text_v2
205596,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.","['History', 'Drama', 'Thriller', 'War']","['england', 'homophobia', 'world war ii', 'mathematician', 'genius', 'biography', 'based on true story', 'male homosexuality', 'code breaking', 'lgbt', 'logician', 'cryptography', 'math genius', 'gay theme', 'inspirational', 'codes', 'criptografia']","['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Rory Kinnear', 'Allen Leech']","The Imitation Game | Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II. | Genres: History, Drama, Thriller, War | Keywords: england, homophobia, world war ii, mathematician, genius, biography, based on true story, male homosexuality, code breaking, lgbt, logician, cryptography, math genius, gay theme, inspirational, codes, criptografia | Cast: Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear, Allen Leech","Title: The Imitation Game. Genres: ['History', 'Drama', 'Thriller', 'War']. Keywords: ['england', 'homophobia', 'world war ii', 'mathematician', 'genius', 'biography', 'based on true story', 'male homosexuality', 'code breaking', 'lgbt', 'logician', 'cryptography', 'math genius', 'gay theme', 'inspirational', 'codes', 'criptografia']. Cast: ['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode', 'Rory Kinnear', 'Allen Leech']. Overview: Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.."
338803,The Treacherous,"The story of Joseon's tyrant king Yeonsan who exploits the populace for his own carnal pleasures, his seemingly loyal retainer who controls him and all court dealings, and a woman who seeks vengeance.","['Drama', 'History', 'Crime']","['king', '15th century', 'joseon dynasty (1392–1910)']","['Ju Ji-hoon', 'Kim Kang-woo', 'Lim Ji-yeon', 'Lee You-young', 'Cheon Ho-jin']","The Treacherous | The story of Joseon's tyrant king Yeonsan who exploits the populace for his own carnal pleasures, his seemingly loyal retainer who controls him and all court dealings, and a woman who seeks vengeance. | Genres: Drama, History, Crime | Keywords: king, 15th century, joseon dynasty (1392–1910) | Cast: Ju Ji-hoon, Kim Kang-woo, Lim Ji-yeon, Lee You-young, Cheon Ho-jin","Title: The Treacherous. Genres: ['Drama', 'History', 'Crime']. Keywords: ['king', '15th century', 'joseon dynasty (1392–1910)']. Cast: ['Ju Ji-hoon', 'Kim Kang-woo', 'Lim Ji-yeon', 'Lee You-young', 'Cheon Ho-jin']. Overview: The story of Joseon's tyrant king Yeonsan who exploits the populace for his own carnal pleasures, his seemingly loyal retainer who controls him and all court dealings, and a woman who seeks vengeance.."
105864,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"['Adventure', 'Animation', 'Family']","['friendship', 'tyrannosaurus rex', 'cartoon', 'villain', 'friends', 'alternate history', 'dinosaur', 'fear', 'storm', 'nature', 'journey']","['Frances McDormand', 'Raymond Ochoa', 'Jeffrey Wright', 'Steve Zahn', 'Sam Elliott']","The Good Dinosaur | An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend. | Genres: Adventure, Animation, Family | Keywords: friendship, tyrannosaurus rex, cartoon, villain, friends, alternate history, dinosaur, fear, storm, nature, journey | Cast: Frances McDormand, Raymond Ochoa, Jeffrey Wright, Steve Zahn, Sam Elliott","Title: The Good Dinosaur. Genres: ['Adventure', 'Animation', 'Family']. Keywords: ['friendship', 'tyrannosaurus rex', 'cartoon', 'villain', 'friends', 'alternate history', 'dinosaur', 'fear', 'storm', 'nature', 'journey']. Cast: ['Frances McDormand', 'Raymond Ochoa', 'Jeffrey Wright', 'Steve Zahn', 'Sam Elliott']. Overview: An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.."
1893,Star Wars: Episode I - The Phantom Menace,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.","['Adventure', 'Action', 'Science Fiction']","['galaxy', 'senate', 'taskmaster', 'prophecy', 'queen', 'apprentice', 'taxes', 'prequel', 'space opera']","['Liam Neeson', 'Ewan McGregor', 'Natalie Portman', 'Jake Lloyd', 'Ian McDiarmid']","Star Wars: Episode I - The Phantom Menace | Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi. | Genres: Adventure, Action, Science Fiction | Keywords: galaxy, senate, taskmaster, prophecy, queen, apprentice, taxes, prequel, space opera | Cast: Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Ian McDiarmid","Title: Star Wars: Episode I - The Phantom Menace. Genres: ['Adventure', 'Action', 'Science Fiction']. Keywords: ['galaxy', 'senate', 'taskmaster', 'prophecy', 'queen', 'apprentice', 'taxes', 'prequel', 'space opera']. Cast: ['Liam Neeson', 'Ewan McGregor', 'Natalie Portman', 'Jake Lloyd', 'Ian McDiarmid']. Overview: Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.."
1236153,Mercy,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.","['Science Fiction', 'Action', 'Thriller', 'Crime']","['race against time', 'mission', 'artificial intelligence (a.i.)', 'bomb', 'kidnapping', 'cop', 'los angeles, california', 'false accusations', 'innocent suspect', 'father daughter relationship', 'criminal justice system', 'evidence room', 'near future', 'screenlife', 'alcoholic cop', 'crime', 'dystopian sci-fi']","['Chris Pratt', 'Rebecca Ferguson', 'Kali Reis', 'Kylie Rogers', 'Chris Sullivan']","Mercy | In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate. | Genres: Science Fiction, Action, Thriller, Crime | Keywords: race against time, mission, artificial intelligence (a.i.), bomb, kidnapping, cop, los angeles, california, false accusations, innocent suspect, father daughter relationship, criminal justice system, evidence room, near future, screenlife, alcoholic cop, crime, dystopian sci-fi | Cast: Chris Pratt, Rebecca Ferguson, Kali Reis, Kylie Rogers, Chris Sullivan","Title: Mercy. Genres: ['Science Fiction', 'Action', 'Thriller', 'Crime']. Keywords: ['race against time', 'mission', 'artificial intelligence (a.i.)', 'bomb', 'kidnapping', 'cop', 'los angeles, california', 'false accusations', 'innocent suspect', 'father daughter relationship', 'criminal justice system', 'evidence room', 'near future', 'screenlife', 'alcoholic cop', 'crime', 'dystopian sci-fi']. Cast: ['Chris Pratt', 'Rebecca Ferguson', 'Kali Reis', 'Kylie Rogers', 'Chris Sullivan']. Overview: In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.."
1326106,Kaiju No. 8: Mission Recon,"In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.","['Animation', 'Action', 'Science Fiction']","['giant monster', 'compilation', 'based on manga', 'kaiju', 'edited from tv series', 'shounen', 'anime']","['Masaya Fukunishi', 'Wataru Katoh', 'Fairouz Ai', 'Tessyo Genda', 'Kengo Kawanishi']","Kaiju No. 8: Mission Recon | In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off. | Genres: Animation, Action, Science Fiction | Keywords: giant monster, compilation, based on manga, kaiju, edited from tv series, shounen, anime | Cast: Masaya Fukunishi, Wataru Katoh, Fairouz Ai, Tessyo Genda, Kengo Kawanishi","Title: Kaiju No. 8: Mission Recon. Genres: ['Animation', 'Action', 'Science Fiction']. Keywords: ['giant monster', 'compilation', 'based on manga', 'kaiju', 'edited from tv series', 'shounen', 'anime']. Cast: ['Masaya Fukunishi', 'Wataru Katoh', 'Fairouz Ai', 'Tessyo Genda', 'Kengo Kawanishi']. Overview: In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.."
7131,Van Helsing,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,"['Horror', 'Adventure', 'Action']","['transylvania', 'vampire', 'vatican (holy see)', 'bite', 'castle', 'steampunk', 'werewolf', 'gothic horror', 'van helsing', 'notre dame cathedral', '19th century', 'mr. hyde', 'frankenstein', 'dracula', 'fantasy', 'amused']","['Hugh Jackman', 'Kate Beckinsale', 'Richard Roxburgh', 'Josie Maran', 'David Wenham']","Van Helsing | Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family. | Genres: Horror, Adventure, Action | Keywords: transylvania, vampire, vatican (holy see), bite, castle, steampunk, werewolf, gothic horror, van helsing, notre dame cathedral, 19th century, mr. hyde, frankenstein, dracula, fantasy, amused | Cast: Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Josie Maran, David Wenham","Title: Van Helsing. Genres: ['Horror', 'Adventure', 'Action']. Keywords: ['transylvania', 'vampire', 'vatican (holy see)', 'bite', 'castle', 'steampunk', 'werewolf', 'gothic horror', 'van helsing', 'notre dame cathedral', '19th century', 'mr. hyde', 'frankenstein', 'dracula', 'fantasy', 'amused']. Cast: ['Hugh Jackman', 'Kate Beckinsale', 'Richard Roxburgh', 'Josie Maran', 'David Wenham']. Overview: Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.."
863,Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.","['Animation', 'Comedy', 'Family']","['friendship', 'airplane', 'museum', 'prosecution', 'identity crisis', 'villain', 'flea market', 'collector', 'sequel', 'buddy', 'rescue team', 'prospector', 'garage sale', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects come to life', 'cheerful', 'comforting']","['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer', 'Don Rickles']","Toy Story 2 | Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong. | Genres: Animation, Comedy, Family | Keywords: friendship, airplane, museum, prosecution, identity crisis, villain, flea market, collector, sequel, buddy, rescue team, prospector, garage sale, duringcreditsstinger, toy comes to life, personification, inanimate objects come to life, cheerful, comforting | Cast: Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles","Title: Toy Story 2. Genres: ['Animation', 'Comedy', 'Family']. Keywords: ['friendship', 'airplane', 'museum', 'prosecution', 'identity crisis', 'villain', 'flea market', 'collector', 'sequel', 'buddy', 'rescue team', 'prospector', 'garage sale', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects come to life', 'cheerful', 'comforting']. Cast: ['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer', 'Don Rickles']. Overview: Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.."
911430,F1,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,"['Action', 'Drama']","['sports', 'comeback', 'racing', 'race car driver', 'sport competition', 'beforecreditsstinger', 'rookie', 'formula one (f1)', 'motorsport', 'car racing', 'exhilarated', 'joyful']","['Brad Pitt', 'Damson Idris', 'Javier Bardem', 'Kerry Condon', 'Tobias Menzies']","F1 | Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory. | Genres: Action, Drama | Keywords: sports, comeback, racing, race car driver, sport competition, beforecreditsstinger, rookie, formula one (f1), motorsport, car racing, exhilarated, joyful | Cast: Brad Pitt, Damson Idris, Javier Bardem, Kerry Condon, Tobias Menzies","Title: F1. Genres: ['Action', 'Drama']. Keywords: ['sports', 'comeback', 'racing', 'race car driver', 'sport competition', 'beforecreditsstinger', 'rookie', 'formula one (f1)', 'motorsport', 'car racing', 'exhilarated', 'joyful']. Cast: ['Brad Pitt', 'Damson Idris', 'Javier Bardem', 'Kerry Condon', 'Tobias Menzies']. Overview: Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.."
1426776,STRAW,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,"['Thriller', 'Drama', 'Crime']","['bank manager', 'arrest', 'loss of job', 'sick child', 'angry', 'aggressive', 'hopeless', 'traffic ticket', 'intimidation by police', 'mother daughter relationship', 'loss of home', 'anxious', 'hostages', 'provocative', 'absurd', 'audacious', 'callous', 'earnest', 'frustrated', 'fbi operation', 'shot to death', 'broke', 'life threatening', 'straw']","['Taraji P. Henson', 'Sherri Shepherd', 'Teyana Taylor', 'Sinbad', 'Rockmond Dunbar']","STRAW | What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation. | Genres: Thriller, Drama, Crime | Keywords: bank manager, arrest, loss of job, sick child, angry, aggressive, hopeless, traffic ticket, intimidation by police, mother daughter relationship, loss of home, anxious, hostages, provocative, absurd, audacious, callous, earnest, frustrated, fbi operation, shot to death, broke, life threatening, straw | Cast: Taraji P. Henson, Sherri Shepherd, Teyana Taylor, Sinbad, Rockmond Dunbar","Title: STRAW. Genres: ['Thriller', 'Drama', 'Crime']. Keywords: ['bank manager', 'arrest', 'loss of job', 'sick child', 'angry', 'aggressive', 'hopeless', 'traffic ticket', 'intimidation by police', 'mother daughter relationship', 'loss of home', 'anxious', 'hostages', 'provocative', 'absurd', 'audacious', 'callous', 'earnest', 'frustrated', 'fbi operation', 'shot to death', 'broke', 'life threatening', 'straw']. Cast: ['Taraji P. Henson', 'Sherri Shepherd', 'Teyana Taylor', 'Sinbad', 'Rockmond Dunbar']. Overview: What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.."
